ticker,title
KXEWCHONOROFKINGS,Honor of Kings World Cup at 2025 Esports World Cup
KXEWCLEAGUEOFLEGENDS,League of Legends featured at 2025 Esports World Cup
KXEWCMLBB,Mobile Legends: Bang Bang Mid Season Cup at 2025 Esports World Cup
KXEWCMOBILELEGENDSBBWOMENS,Mobile Legends: Bang Bang Women's Invitational at 2025 Esports World Cup
KXEWCPUBGBATTLEG,PUBG: BATTLEGROUNDS at 2025 Esports World Cup
KXEWCRAINBOW6SEIGE,Rainbow Six at 2025 Esports World Cup WINNER
KXEWCRB6,Rainbow Six at 2025 Esports World Cup
KXEWCRENNSPORT,2025 Mid-Season Invitational
KXEWCRSS,Rainbow Six at 2025 Esports World Cup
KXEWCSTARCRAFTII,StarCraft II at 2025 Esports World Cup
KXEWCTEAMFIGHTTACTICS,Teamfight Tactics featured at 2025 Esports World Cup
KXEWCVALORANT,VALORANT featured at 2025 Esports World Cup
KXEWSLGAME,England Women's Super League Game
KXEXHIBITIONMEN,Men's Tennis Exhibition Match
KXEXHIBITIONWOMEN,Women's Tennis Exhibition Match
KXF1,Formula 1
KXF1CHINA,F1 team from China
KXF1CONSTRUCTORS,Formula 1 Constructors
KXF1DELAY,F1 Delay
KXF1FASTESTLAP,F1 Fastest Lap
KXF1FASTLAP,F1 Fastest Lap
KXF1H2H,F1 Head-to-Head
KXF1OCCUR,Formula 1 Event Occurrence
KXF1POLE,Qualify in Pole Position
KXF1POLEPOSITION,Qualify in Pole Position
KXF1QUALIFY,Formula 1 Qualify
KXF1RACE,F1 Race
KXF1RACEPODIUM,F1 Race Podium Finisher
KXF1RACESPRINT,F1 Sprint Race
KXF1RACETOP10,F1 Race Top 10 Finishers
KXF1RACETOP5,F1 Race Top 5 Finishers
KXF1RACETOPX,F1 Race Top Finishers
KXF1RETIRE,F1 Retire
KXF1SPRINTFASTLAP,F1 Sprint Race Fastest Lap
KXF1SPRINTPOLE,F1 Sprint Qualifying Pole Position
KXF1SPRINTTOP10,F1 Sprint Race Top 10 Finishers
KXF1SPRINTTOP5,F1 Sprint Race Top 5 Finishers
KXF1SPRINTTOPCONSTRUCTOR,F1 Sprint Race Top Constructor
KXF1TOP10,F1 Top 10 Finishers
KXF1TOP5,F1 Top 5 Finishers
KXF1TOPCONSTRUCTOR,F1 Top Constructor
KXFACUP,FA cup
KXFACUPADVANCE,FA Cup Advance
KXFACUPGAME,FA Cup Game
KXFACUPSPREAD,FA Cup Game
KXFACUPTOTAL,FA Cup Total
KXFANATICSGAMESFIRSTPLACE,Who will come in 1st place at Fanatics Games?
KXFANATICSGAMESSECONDPLACE,Who will come in 2nd place at Fanatics Games?
KXFANATICSGAMESTHIRDPLACE,Who will come in 3rd place at Fanatics Games?
KXFANATICSWINNER,Fanatics winner type
KXFCSOUTHAFRICA,Freestyle Chess Grand Slam South Africa
KXFFQBALLENMAHOMES,allen v mahomes
KXFIBACHAMPLEAGUEGAME,FIBA Champions League Game
KXFIBAECUPGAME,FIBA Europe Cup Game
KXFIBAGAME,FIBA Game
KXFIDECANDIDATES,FIDE Candidates qualifiers
KXFIDECHESSCHAMPION,FIDE Chess Championship
KXFIFAADVANCE,Fifa To Advance
KXFIFAGAME,Fifa Game
KXFIFASPREAD,Fifa Spread
KXFIFATOTAL,Fifa Total
KXFIFAUSPULL,FIFA us pull
KXFIFAUSPULLGAME,FIFA US pull game
KXFINALISSIMAGAME,Finalissima
KXFIRSTPICKNBA,NBA first pick
KXFIRSTTIMEWINNER,First Time Winner
KXFIRSTUSOPEN,First time US open winner
KXFLACOACH,Florida Next Coach
KXFLOYDTYSONFIGHT,Floyd vs Tyson Fight
KXFOMEN,French Open Men's
KXFOMENSINGLES,French Open men's singles
KXFOODCONSUMEDSOURAJI,X
KXFOPENMENSINGLE,French Open men's singles
KXFOPENWMENSINGLE,French Open women's singles
KXFOWOMEN,French Open Women's
KXFOWOMENSINGLES,French Open women's singles
KXFRA14CHAMP,France Top 14 Champion
KXFRASUPERCUPADVANCE,France Super Cup to Advance
KXFRASUPERCUPGAME,France Super Cup Game
KXFURYJOSHUA,Tyson Fury to fight Anthony Joshua
KXGBLGAME,GBL Basketball Game
KXGENESISINVITATIONAL,Genesis Invitational Winner?
KXGOLFCAT,a
KXGOLFH2H,Golf Head-to-Head
KXGOLFMAJOR,How many majors will golfer win in a year?
KXGOLFMAJORS,Golf Majors Won
KXGOLFTENNISMAJORS,"More Major Wins, Tennis vs Golf"
KXGRANDSLAM,Grand Slam Wins by Year
KXGRANDSLAMJFONSECA,Wil Joao Fonseca Win a grand slam
KXGRANDSLAMSINNERALCARAZ,Sinner Alcaraz grand slam
KXGREYCUP,CFL Grey Cup
KXGUINNESSWRCOUNT,Guinness World Record count
KXHEISMAN,Heisman Trophy Winner
KXHEISMANFINALIST,Defensive Heisman Finalist
KXHNLGAME,Croatia HNL Game
KXHOLEINONE,Golf Hole in One
KXIEMCHEN,Who will win the IEM Chengdu 2025
KXIIHF,Who will win IIHF championship?
KXIIHFCHAMP,IIHF World Championship winner
KXIIHFGAME,IIHF Game
KXIMOCOUNTRY, International Mathematical Olympiad Country Winner
KXINDY500,Indy 500 Winner
KXINDY500DELAY,Indy 500 delay
KXINDYCARRACE,IndyCar Race
KXINDYCARSERIES,IndyCar Series Champion
KXINDYCARTOP10,IndyCar Top 10 Finishers
KXINDYCARTOP3,IndyCar Top 3 Finishers
KXINTERCONCUPGAME,Intercontinental Cup Match
KXINTERCUPADVANCE,Intercontinental Cup To Advance
KXINTERNETINVITATIONAL,Who will win the Internet Invitational 
KXINTLFRIENDLYGAME,International Friendly Game
KXINTLFRIENDLYSPREAD,International Friendly Spread
KXINTLFRIENDLYTOTAL,International Friendly Total
KXIPL,IPL Winner
KXIPLFINAL,IPL Final Qualifiers
KXIPLFINALS,IPL Final Qualifiers
KXIPLFIRST10,IPL First 10 Overs Winner
KXIPLFIRST15,IPL First 15 Overs Winner
KXIPLFIRST6,IPL First 6 Overs Winner
KXIPLFOUR,IPL Total Fours
KXIPLGAME,Indian Premier League Cricket Game
KXIPLPLAYOFF,IPL Cricket Playoff Qualifiers
KXIPLSIX,IPL Total Sixes
KXIPLTEAMTOTAL,IPL Team Total Runs
KXIPLTOTAL,IPL Total Runs
KXISLGAME,Israel Super League Game
KXITASUPERCUPADVANCE,Italy Super Cup Winner
KXITASUPERCUPGAME,Italy Super Cup Game
KXITFMATCH,ITF Men's Match
KXITFWMATCH,ITF Women's Match
KXITTFMEN,ITTF Men Tournament Winner
KXITTFMENMATCH,ITTF Table Tennis
KXITTFWOMEN,ITTF Women Tournament Champion
KXITTFWOMENMATCH,ITTF Women Match
KXIWMEN,Indian Wells Men's Singles
KXIWMENDOUBLES,Indian Wells Men's Doubles
KXIWWOMEN,Indian Wells Women's Singles
KXJBLEAGUEGAME,Japan B League Game
KXJCOLECBA,J Cole CBA
KXJLEAGUEGAME,Japan J League Game
KXJOINCLUB,Soccer Join Club
KXJOINDAVID,Jonathan David transfer
KXJOINEKITIKE,Hugo Ekitike
KXJOINLEAGUE,Soccer Join League
KXJOINMBAPPE,Kylian Mbappe next team
KXJOINMESSI,Messi
KXJOINNEYMARMIAMI,Inter Miami Neymar
KXJOINRONALDO,Cristiano Ronaldo
KXJOINSALAH,Mo Salah next team
KXJOINSANE,Leroy Sane transfer
KXJONJONESRETIREMENT,Jon Jones retirement end
KXJUDGEMENTDAYGAME,Ballislife x OTD | Judgement Day 1v1 Game
KXKBLGAME,Korea KBL Game
KXKBLSPREAD,Korea KBL Spread
KXKBLTOTAL,Korea KBL Total
KXKBO,KBO Champion
KXKBOGAME,KBO Game
KXKBORFI,KBO First Inning Run
KXKBOSPREAD,KBO Spread
KXKBOTOTAL,KBO Total Runs
KXKELCERETIRE,Travis Kelce Retire
KXKFTOUR,Korn Ferry Tour
KXKHLGAME,KHL Game
KXKLEAGUE,Korea K League Winner
KXKLEAGUEGAME,Korea K League Game
KXKNUEPPEL3PTREC,Kon Knueppel Rookie 3pt Record
KXKNVBCUP,KNVB Cup Winner
KXKNVBCUPADVANCE,KNVB Cup Advance
KXKNVBCUPGAME,KNVB Cup Game
KXKXECULPGAME,delete
KXKYLE100MRUN,Kyle Foregeard 100 Mile Run
KXKYLEMILETIME,Will Nelk's Kyle Forgeard first mile be completed in 8 minutes
KXLALIGA,LA LIGA
KXLALIGA1H,La Liga First Half Winner
KXLALIGA1HBTTS,1st Half BTTS
KXLALIGA1HSPREAD,1st Half Spread
KXLALIGA1HTOTAL,1st Half Total
KXLALIGA2GAME,LaLiga 2 Game
KXLALIGABTTS,La Liga BTTS
KXLALIGAGAME,La Liga Game
KXLALIGARELEGATION,La Liga Relegation
KXLALIGASPREAD,La Liga Spread
KXLALIGATOP4,La Liga Top 4 Finishers
KXLALIGATOTAL,La Liga Total
KXLAMINEYAMAL,Lamine Yamal
KXLAVERCUP,Laver Cup
KXLAXGAME,NCAA Lacrosse Game
KXLAXTEWAARATON,College Lacrosse Tewaaraton Award
KXLBJRETIRE,LBJ Retire
KXLBJRTEAM,XYZ
KXLCKAHRIPICK,LCK finals Ahri
KXLEADERMLBAVG,MLB Batting Average Leader
KXLEADERMLBDOUBLES,MLB Doubles Leader
KXLEADERMLBERA,MLB ERA Leader
KXLEADERMLBHITS,MLB Hits Leader
KXLEADERMLBHR,MLB Home Runs Leader
KXLEADERMLBKS,Pro Baseball Strikeouts Leader
KXLEADERMLBOPS,MLB OPS Leader
KXLEADERMLBRBI,MLB RBIs Leader
KXLEADERMLBRUNS,MLB Runs Leader
KXLEADERMLBSAVES,MLB Saves Leader
KXLEADERMLBSTEALS,MLB Steals Leader
KXLEADERMLBSTRIKEOUTS,MLB Strikeouts Leader
KXLEADERMLBTRIPLES,MLB Triples Leader
KXLEADERMLBWAR,MLB WAR Leader
KXLEADERMLBWINS,MLB Wins Leader
KXLEADERNBA3PT,NBA 3PG Leader
KXLEADERNBAAST,NBA APG Leader
KXLEADERNBABLK,NBA BPG Leader
KXLEADERNBAPTS,NBA PPG Leader
KXLEADERNBAREB,NBA RPG Leader
