tourney_year_id,tourney_order,tourney_type,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_date,year,tourney_start_day,tourney_start_month,tourney_start_year,tourney_end_day,tourney_end_month,tourney_end_year,tourney_surface,tourney_url_suffix
2024-1536,30,Masters 1000,ATP Masters 1000 Madrid,1536,madrid,"Madrid, Spain","24 April - 5 May, 2024",2024,24,4,2024,5,5,2024,,/en/tournaments/madrid/1536/overview
2024-416,31,Masters 1000,ATP Masters 1000 Rome,416,rome,"Rome, Italy","8 - 19 May, 2024",2024,8,5,2024,19,5,2024,,/en/tournaments/rome/416/overview
2024-322,32,ATP 250,Geneva,322,geneva,"Geneva, Switzerland","19 - 25 May, 2024",2024,19,5,2024,25,5,2024,,/en/tournaments/geneva/322/overview
2024-7694,33,ATP 250,Lyon,7694,lyon,"Lyon, France","19 - 25 May, 2024",2024,19,5,2024,25,5,2024,,/en/tournaments/lyon/7694/overview
2024-520,34,Grand Slam,Roland Garros,520,roland-garros,"Paris, France","26 May - 9 June, 2024",2024,26,5,2024,9,6,2024,,/en/tournaments/roland-garros/520/overview
2024-321,35,ATP 250,Stuttgart,321,stuttgart,"Stuttgart, Germany","10 - 16 June, 2024",2024,10,6,2024,16,6,2024,,/en/tournaments/stuttgart/321/overview
2024-440,36,ATP 250,'s-Hertogenbosch,440,s-hertogenbosch,"'s-Hertogenbosch, Netherlands","10 - 16 June, 2024",2024,10,6,2024,16,6,2024,,/en/tournaments/s-hertogenbosch/440/overview
2024-500,37,ATP 500,Halle,500,halle,"Halle, Germany","17 - 23 June, 2024",2024,17,6,2024,23,6,2024,,/en/tournaments/halle/500/overview
2024-311,38,ATP 500,London / Queen's Club,311,london,"London, Great Britain","17 - 23 June, 2024",2024,17,6,2024,23,6,2024,,/en/tournaments/london/311/overview
2024-8994,39,ATP 250,Mallorca,8994,mallorca,"Mallorca, Spain","23 - 29 June, 2024",2024,23,6,2024,29,6,2024,,/en/tournaments/mallorca/8994/overview
2024-741,40,ATP 250,Eastbourne,741,eastbourne,"Eastbourne, Great Britain","24 - 29 June, 2024",2024,24,6,2024,29,6,2024,,/en/tournaments/eastbourne/741/overview
2024-540,41,Grand Slam,Wimbledon,540,wimbledon,"London, Great Britain","1 - 14 July, 2024",2024,1,7,2024,14,7,2024,,/en/tournaments/wimbledon/540/overview
2024-414,42,ATP 500,Hamburg,414,hamburg,"Hamburg, Germany","15 - 21 July, 2024",2024,15,7,2024,21,7,2024,,/en/tournaments/hamburg/414/overview
2024-315,43,ATP 250,Newport,315,newport,"Newport, United States","15 - 21 July, 2024",2024,15,7,2024,21,7,2024,,/en/tournaments/newport/315/overview
2024-316,44,ATP 250,Bastad,316,bastad,"Bastad, Sweden","15 - 21 July, 2024",2024,15,7,2024,21,7,2024,,/en/tournaments/bastad/316/overview
2024-314,45,ATP 250,Gstaad,314,gstaad,"Gstaad, Switzerland","15 - 21 July, 2024",2024,15,7,2024,21,7,2024,,/en/tournaments/gstaad/314/overview
2024-439,46,ATP 250,Umag,439,umag,"Umag, Croatia","21 - 27 July, 2024",2024,21,7,2024,27,7,2024,,/en/tournaments/umag/439/overview
2024-6116,47,ATP 250,Atlanta,6116,atlanta,"Atlanta, United States","22 - 28 July, 2024",2024,22,7,2024,28,7,2024,,/en/tournaments/atlanta/6116/overview
2024-319,48,ATP 250,Kitzbuhel,319,kitzbuhel,"Kitzbuhel, Austria","22 - 27 July, 2024",2024,22,7,2024,27,7,2024,,/en/tournaments/kitzbuhel/319/overview
2024-96,49,undefined,Paris Olympics,96,paris,"Paris, France","27 July - 4 August, 2024",2024,27,7,2024,4,8,2024,,/en/tournaments/paris/96/overview
2024-418,50,ATP 500,Washington,418,washington,"Washington, United States","29 July - 4 August, 2024",2024,29,7,2024,4,8,2024,,/en/tournaments/washington/418/overview
2024-421,51,Masters 1000,ATP Masters 1000 Canada,421,montreal,"Montreal, Canada","6 - 12 August, 2024",2024,6,8,2024,12,8,2024,,/en/tournaments/montreal/421/overview
