player_id,player_slug,full_name,year,surface,Aces,DoubleFaults,FirstServePercentage,FirstServePointsWonPercentage,SecondServePointsWonPercentage,BreakPointsFaced,BreakPointsSavedPercentage,ServiceGamesPlayed,ServiceGamesWonPercentage,ServicePointsWonPercentage,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,BreakPointsOpportunities,BreakPointsConvertedPercentage,ReturnGamesPlayed,ReturnGamesWonPercentage,ReturnPointsWonPercentage,TotalPointsWonPercentage
d643,novak-djokovic,Novak Djokovic,2026,Clay,,,,,,,,,,,,,,,,,,
d643,novak-djokovic,Novak Djokovic,2026,Grass,,,,,,,,,,,,,,,,,,
d643,novak-djokovic,Novak Djokovic,2026,Carpet,,,,,,,,,,,,,,,,,,
d643,novak-djokovic,Novak Djokovic,2025,all,413,102,67,77,56,210,64,671,89,70,32,53,403,42,648,26,39,54
d643,novak-djokovic,Novak Djokovic,2025,Hard,271,68,66,77,57,128,66,413,90,70,31,51,222,45,397,25,38,54
d643,novak-djokovic,Novak Djokovic,2025,Clay,62,21,65,76,56,45,58,162,88,69,31,53,101,39,157,25,40,54
d643,novak-djokovic,Novak Djokovic,2025,Grass,80,13,69,78,50,37,62,96,85,69,36,57,80,40,94,34,43,55
d643,novak-djokovic,Novak Djokovic,2025,Carpet,,,,,,,,,,,,,,,,,,
d643,novak-djokovic,Novak Djokovic,2024,all,275,102,64,75,55,219,65,539,86,68,33,55,367,41,525,29,41,54
d643,novak-djokovic,Novak Djokovic,2024,Hard,164,62,62,77,55,99,67,273,88,69,30,57,183,38,266,26,40,54
d643,novak-djokovic,Novak Djokovic,2024,Clay,49,22,65,71,54,92,63,167,80,65,39,52,124,50,164,38,44,55
d643,novak-djokovic,Novak Djokovic,2024,Grass,62,18,67,79,56,28,64,99,90,71,30,53,60,35,95,22,38,54
d643,novak-djokovic,Novak Djokovic,2024,Carpet,,,,,,,,,,,,,,,,,,
d643,novak-djokovic,Novak Djokovic,2023,all,383,157,64,76,58,261,67,741,88,70,33,54,491,42,721,29,41,55
d643,novak-djokovic,Novak Djokovic,2023,Hard,238,106,62,79,59,119,67,406,90,71,32,56,260,44,392,29,40,55
d643,novak-djokovic,Novak Djokovic,2023,Clay,77,40,67,72,53,104,63,209,81,66,40,52,162,44,206,34,44,55
d643,novak-djokovic,Novak Djokovic,2023,Grass,68,11,65,78,61,38,79,126,94,72,26,51,69,33,123,19,35,54
d643,novak-djokovic,Novak Djokovic,2023,Carpet,,,,,,,,,,,,,,,,,,
ag37,felix-auger-aliassime,Felix Auger Aliassime,all,all,4155,1717,64,76,51,2423,64,5484,84,67,30,48,2902,37,5422,20,36,51
ag37,felix-auger-aliassime,Felix Auger Aliassime,all,Hard,2972,1172,64,77,50,1572,64,3723,85,67,29,48,1978,36,3685,19,36,51
ag37,felix-auger-aliassime,Felix Auger Aliassime,all,Clay,547,352,64,72,49,619,62,1113,79,64,32,49,653,39,1100,23,38,51
ag37,felix-auger-aliassime,Felix Auger Aliassime,all,Grass,636,193,64,80,54,232,69,648,89,70,27,47,271,38,637,16,34,52
ag37,felix-auger-aliassime,Felix Auger Aliassime,all,Carpet,,,,,,,,,,,,,,,,,,
ag37,felix-auger-aliassime,Felix Auger Aliassime,2026,all,227,55,68,78,55,83,65,277,90,70,30,47,133,40,280,19,36,52
ag37,felix-auger-aliassime,Felix Auger Aliassime,2026,Hard,206,48,68,79,55,69,68,229,90,71,30,47,112,40,232,19,36,53
ag37,felix-auger-aliassime,Felix Auger Aliassime,2026,Clay,21,7,67,73,55,14,50,48,85,67,30,45,21,38,48,17,35,51
ag37,felix-auger-aliassime,Felix Auger Aliassime,2026,Grass,,,,,,,,,,,,,,,,,,
ag37,felix-auger-aliassime,Felix Auger Aliassime,2026,Carpet,,,,,,,,,,,,,,,,,,
ag37,felix-auger-aliassime,Felix Auger Aliassime,2025,all,783,234,67,77,52,412,67,954,86,68,29,49,538,33,957,19,36,52
ag37,felix-auger-aliassime,Felix Auger Aliassime,2025,Hard,601,176,68,77,52,304,68,715,86,69,29,49,393,33,718,18,36,52
ag37,felix-auger-aliassime,Felix Auger Aliassime,2025,Clay,45,23,66,72,52,59,66,101,80,65,31,51,76,30,105,22,38,51
ag37,felix-auger-aliassime,Felix Auger Aliassime,2025,Grass,137,35,63,80,53,49,65,138,88,70,28,48,69,36,134,19,36,52
ag37,felix-auger-aliassime,Felix Auger Aliassime,2025,Carpet,,,,,,,,,,,,,,,,,,
ag37,felix-auger-aliassime,Felix Auger Aliassime,2024,all,377,200,62,75,51,258,64,572,84,66,31,47,279,41,564,20,37,51
ag37,felix-auger-aliassime,Felix Auger Aliassime,2024,Hard,230,124,62,73,51,151,62,316,82,65,29,47,151,38,312,19,36,50
