match_id,match_code,tournament_name,event_year,number_of_sets,match_status,round_short
725,MS004,Barcelona Open Banc Sabadell,2023,2,F,QF
722,MS005,Barcelona Open Banc Sabadell,2023,3,F,QF
721,MS007,Barcelona Open Banc Sabadell,2023,2,F,QF
724,MS008,Barcelona Open Banc Sabadell,2023,2,F,R16
727,MS010,Barcelona Open Banc Sabadell,2023,2,F,R16
728,MS011,Barcelona Open Banc Sabadell,2023,2,F,R16
729,MS012,Barcelona Open Banc Sabadell,2023,3,F,R16
743,MS013,Barcelona Open Banc Sabadell,2023,3,F,R16
737,MS015,Barcelona Open Banc Sabadell,2023,2,F,R16
730,MS016,Barcelona Open Banc Sabadell,2023,2,F,R32
736,MS018,Barcelona Open Banc Sabadell,2023,2,F,R32
731,MS020,Barcelona Open Banc Sabadell,2023,2,F,R32
750,MS021,Barcelona Open Banc Sabadell,2023,2,F,R32
735,MS022,Barcelona Open Banc Sabadell,2023,2,F,R32
732,MS023,Barcelona Open Banc Sabadell,2023,2,F,R32
745,MS024,Barcelona Open Banc Sabadell,2023,2,F,R32
746,MS025,Barcelona Open Banc Sabadell,2023,2,F,R32
740,MS026,Barcelona Open Banc Sabadell,2023,2,F,R32
734,MS028,Barcelona Open Banc Sabadell,2023,2,F,R32
744,MS041,Barcelona Open Banc Sabadell,2023,2,F,R64
753,MS045,Barcelona Open Banc Sabadell,2023,2,F,R64
741,MS046,Barcelona Open Banc Sabadell,2023,2,F,R64
742,MS050,Barcelona Open Banc Sabadell,2023,2,F,R64
757,MS057,Barcelona Open Banc Sabadell,2023,2,F,R64
785,QS008,Barcelona Open Banc Sabadell,2023,2,F,Q2
793,QS010,Barcelona Open Banc Sabadell,2023,3,F,Q2
760,QS011,Barcelona Open Banc Sabadell,2023,3,F,Q2
754,QS017,Barcelona Open Banc Sabadell,2023,2,F,Q1
749,QS018,Barcelona Open Banc Sabadell,2023,3,F,Q1
751,QS020,Barcelona Open Banc Sabadell,2023,3,F,Q1
774,QS021,Barcelona Open Banc Sabadell,2023,3,F,Q1
747,QS022,Barcelona Open Banc Sabadell,2023,2,F,Q1
748,QS024,Barcelona Open Banc Sabadell,2023,3,F,Q1
752,QS026,Barcelona Open Banc Sabadell,2023,2,F,Q1
1866,MS001,Chengdu Open,2023,3,F,F
1865,MS002,Chengdu Open,2023,2,F,SF
1867,MS003,Chengdu Open,2023,2,F,SF
1870,MS004,Chengdu Open,2023,3,F,QF
1873,MS005,Chengdu Open,2023,2,F,QF
1875,MS006,Chengdu Open,2023,1,F,QF
1869,MS007,Chengdu Open,2023,2,F,QF
1874,MS008,Chengdu Open,2023,3,F,R16
1892,MS009,Chengdu Open,2023,2,F,R16
1872,MS010,Chengdu Open,2023,2,F,R16
1877,MS011,Chengdu Open,2023,2,F,R16
1880,MS012,Chengdu Open,2023,2,F,R16
1876,MS013,Chengdu Open,2023,2,F,R16
1878,MS014,Chengdu Open,2023,2,F,R16
1871,MS015,Chengdu Open,2023,3,F,R16
1879,MS017,Chengdu Open,2023,2,F,R32
1887,MS021,Chengdu Open,2023,2,F,R32
1883,MS023,Chengdu Open,2023,3,F,R32
1881,MS025,Chengdu Open,2023,3,F,R32
1885,MS026,Chengdu Open,2023,2,F,R32
1882,MS028,Chengdu Open,2023,2,F,R32
1896,MS029,Chengdu Open,2023,2,F,R32
1886,MS030,Chengdu Open,2023,3,F,R32
1888,QS014,Chengdu Open,2023,2,F,Q1
1943,MS001,China Open,2023,2,F,F
1944,MS002,China Open,2023,2,F,SF
1941,MS003,China Open,2023,2,F,SF
1947,MS004,China Open,2023,2,F,QF
1948,MS005,China Open,2023,3,F,QF
1956,MS006,China Open,2023,3,F,QF
1946,MS007,China Open,2023,3,F,QF
1950,MS008,China Open,2023,2,F,R16
1957,MS009,China Open,2023,3,F,R16
1953,MS010,China Open,2023,2,F,R16
1951,MS011,China Open,2023,2,F,R16
1983,MS012,China Open,2023,3,F,R16
1958,MS013,China Open,2023,3,F,R16
1949,MS014,China Open,2023,3,F,R16
1952,MS015,China Open,2023,2,F,R16
1955,MS016,China Open,2023,2,F,R32
1970,MS017,China Open,2023,3,F,R32
1964,MS018,China Open,2023,3,F,R32
1962,MS019,China Open,2023,2,F,R32
1991,MS020,China Open,2023,2,F,R32
1965,MS021,China Open,2023,3,F,R32
1968,MS022,China Open,2023,3,F,R32
1961,MS023,China Open,2023,3,F,R32
1963,MS025,China Open,2023,2,F,R32
1959,MS027,China Open,2023,2,F,R32
1960,MS028,China Open,2023,3,F,R32
1967,MS029,China Open,2023,3,F,R32
1954,MS031,China Open,2023,2,F,R32
1966,QS005,China Open,2023,2,F,Q2
1971,QS006,China Open,2023,2,F,Q2
1969,QS007,China Open,2023,2,F,Q2
1977,QS010,China Open,2023,2,F,Q1
1972,QS011,China Open,2023,2,F,Q1
1973,QS012,China Open,2023,3,F,Q1
1976,QS013,China Open,2023,2,F,Q1
1974,QS014,China Open,2023,3,F,Q1
1975,QS015,China Open,2023,2,F,Q1
1230,MS001,Cinch Championships,2023,2,F,F
