match_id,event_year,tournament,p1_id,p2_id,p1_prob,outcome,brier,bucket
67,2023,Adelaide International 2,kf17,cd85,0.576,1,0.17977600000000005,"(0.5, 0.6]"
68,2023,ASB Classic,bf23,t0ap,0.4694,1,0.28153636,"(0.4, 0.5]"
69,2023,Adelaide International 2,d0co,ke29,0.5298,1,0.22108803999999996,"(0.5, 0.6]"
70,2023,Adelaide International 2,ki95,kb95,0.5134,1,0.23677956000000003,"(0.5, 0.6]"
71,2023,Adelaide International 2,d0co,su87,0.6084,1,0.15335055999999997,"(0.6, 0.7]"
72,2023,Adelaide International 2,dh50,n0ae,0.6158,1,0.14760964,"(0.6, 0.7]"
73,2023,Adelaide International 2,kb95,ea24,0.4246,1,0.33108516000000004,"(0.4, 0.5]"
74,2023,Adelaide International 2,tc61,sx50,0.427,1,0.3283289999999999,"(0.4, 0.5]"
75,2023,Australian Open,d643,te51,0.6236,1,0.14167695999999996,"(0.6, 0.7]"
76,2023,Australian Open,te51,ke29,0.507,1,0.243049,"(0.5, 0.6]"
77,2023,Australian Open,te51,l0bv,0.616,1,0.147456,"(0.6, 0.7]"
78,2023,Australian Open,pl56,s0s1,0.5092,1,0.24088464,"(0.5, 0.6]"
79,2023,Australian Open,d643,dh58,0.6664,1,0.11128896,"(0.6, 0.7]"
80,2023,Australian Open,te51,s0ag,0.393,1,0.36844899999999997,"(0.3, 0.4]"
81,2023,Australian Open,re44,r0dg,0.5618,1,0.19201924000000004,"(0.5, 0.6]"
82,2023,Adelaide International 2,m0fh,kf17,0.4234,1,0.33246756,"(0.4, 0.5]"
83,2023,Australian Open,pl56,bd06,0.5428,1,0.20903184000000005,"(0.5, 0.6]"
84,2023,Adelaide International 2,o483,h0bh,0.4924,1,0.25765776000000007,"(0.4, 0.5]"
85,2023,Australian Open,d643,pl56,0.6858,1,0.09872164000000003,"(0.6, 0.7]"
86,2023,Australian Open,d643,d875,0.6528,1,0.12054783999999996,"(0.6, 0.7]"
87,2023,Australian Open,d643,re44,0.6668,1,0.11102224000000004,"(0.6, 0.7]"
88,2023,Australian Open,ke29,k0ah,0.557,1,0.19624899999999995,"(0.5, 0.6]"
89,2023,Australian Open,r0dg,hh26,0.5216,1,0.22886656000000005,"(0.5, 0.6]"
90,2023,Australian Open,s0ag,f724,0.7602,1,0.057504040000000006,"(0.7, 0.8]"
91,2023,Australian Open,l0bv,ag37,0.5216,1,0.22886656000000005,"(0.5, 0.6]"
92,2023,Australian Open,n732,mk66,0.3842,1,0.37920964,"(0.3, 0.4]"
93,2023,Australian Open,ke29,n732,0.6902,1,0.09597603999999998,"(0.6, 0.7]"
94,2023,Australian Open,pl56,b0cd,0.4958,1,0.25421763999999997,"(0.4, 0.5]"
95,2023,Australian Open,k0ah,hb71,0.4682,1,0.2828112400000001,"(0.4, 0.5]"
96,2023,Australian Open,te51,gj37,0.5924,1,0.16613775999999997,"(0.5, 0.6]"
97,2023,Australian Open,re44,e687,0.5954,1,0.16370115999999996,"(0.5, 0.6]"
98,2023,Australian Open,ag37,c0au,0.4498,1,0.30272004,"(0.4, 0.5]"
99,2023,Australian Open,k0ah,mm58,0.344,1,0.43033600000000005,"(0.3, 0.4]"
100,2023,Australian Open,ke29,td51,0.5406,1,0.21104836000000002,"(0.5, 0.6]"
101,2023,Australian Open,dh58,bm95,0.598,1,0.16160400000000003,"(0.5, 0.6]"
102,2023,Australian Open,hb71,su87,0.5706,1,0.18438436,"(0.5, 0.6]"
103,2023,Australian Open,l0bv,n771,0.4254,1,0.33016516,"(0.4, 0.5]"
104,2023,Australian Open,hb71,su55,0.6168,1,0.14684223999999999,"(0.6, 0.7]"
105,2023,Australian Open,s0s1,p09z,0.5554,1,0.19766915999999998,"(0.5, 0.6]"
106,2023,Australian Open,dh58,me82,0.5238,1,0.22676643999999996,"(0.5, 0.6]"
107,2023,Australian Open,te51,h0bh,0.657,1,0.11764899999999998,"(0.6, 0.7]"
108,2023,Australian Open,p09z,fb98,0.3052,1,0.48274703999999996,"(0.3, 0.4]"
109,2023,Australian Open,ag37,mv14,0.5296,1,0.22127616000000003,"(0.5, 0.6]"
110,2023,Australian Open,b0cd,rh16,0.4832,1,0.2670822399999999,"(0.4, 0.5]"
111,2023,Australian Open,c0au,mw02,0.6824,1,0.10086976,"(0.6, 0.7]"
112,2023,Australian Open,n732,s0gd,0.4344,1,0.31990335999999997,"(0.4, 0.5]"
113,2023,Australian Open,mp01,z355,0.3514,1,0.4206819600000001,"(0.3, 0.4]"
114,2023,Australian Open,bm95,cd85,0.513,1,0.237169,"(0.5, 0.6]"
115,2023,Australian Open,s0ag,ea24,0.6726,1,0.10719076000000001,"(0.6, 0.7]"
116,2023,Australian Open,ke29,kb95,0.6676,1,0.11048976000000002,"(0.6, 0.7]"
117,2023,Australian Open,td51,s0re,0.6304,1,0.13660416000000003,"(0.6, 0.7]"
118,2023,Australian Open,su55,da81,0.5808,1,0.17572864000000002,"(0.5, 0.6]"
119,2023,Australian Open,bd06,h09p,0.7326,1,0.07150275999999998,"(0.7, 0.8]"
120,2023,Australian Open,d875,db63,0.599,1,0.16080100000000003,"(0.5, 0.6]"
121,2023,Australian Open,k0ah,wb08,0.6606,1,0.11519236000000002,"(0.6, 0.7]"
122,2023,Australian Open,mm58,gc88,0.6886,1,0.09696996000000001,"(0.6, 0.7]"
123,2023,Australian Open,gj37,v812,0.5706,1,0.18438436,"(0.5, 0.6]"
124,2023,Australian Open,pl56,dh50,0.4674,1,0.28366275999999996,"(0.4, 0.5]"
125,2023,Australian Open,f724,hg86,0.586,1,0.17139600000000002,"(0.5, 0.6]"
126,2023,Australian Open,s0s1,j551,0.4094,1,0.34880836000000004,"(0.4, 0.5]"
127,2023,Australian Open,n771,v0dz,0.6382,1,0.13089924,"(0.6, 0.7]"
128,2023,Australian Open,z355,v836,0.7022,1,0.08868483999999997,"(0.7, 0.8]"
129,2023,Australian Open,su55,l987,0.4714,1,0.27941795999999997,"(0.4, 0.5]"
130,2023,Australian Open,rh16,m0fh,0.6242,1,0.14122564,"(0.6, 0.7]"
131,2023,Australian Open,e687,bf23,0.7582,1,0.05846724000000001,"(0.7, 0.8]"
132,2023,Australian Open,te51,hb64,0.608,1,0.15366400000000002,"(0.6, 0.7]"
133,2023,Australian Open,dh58,h09f,0.647,1,0.12460899999999998,"(0.6, 0.7]"
134,2023,Australian Open,d643,cf59,0.7658,1,0.054849639999999984,"(0.7, 0.8]"
135,2023,Australian Open,dh50,bk92,0.6354,1,0.13293316000000002,"(0.6, 0.7]"
136,2023,Australian Open,fb98,bg23,0.856,1,0.020736000000000004,"(0.8, 0.9]"
137,2023,Australian Open,bm95,b0gg,0.6634,1,0.11329956000000001,"(0.6, 0.7]"
138,2023,Australian Open,hb71,mo44,0.6592,1,0.11614464,"(0.6, 0.7]"
139,2023,Australian Open,td51,ae14,0.633,1,0.134689,"(0.6, 0.7]"
140,2023,Australian Open,hg86,m0ej,0.364,1,0.404496,"(0.3, 0.4]"
141,2023,Australian Open,j551,ki95,0.6346,1,0.13351715999999997,"(0.6, 0.7]"
142,2023,Australian Open,h09p,v832,0.3826,1,0.38118275999999995,"(0.3, 0.4]"
143,2023,Australian Open,k0ah,gd64,0.5682,1,0.18645123999999996,"(0.5, 0.6]"
144,2023,Australian Open,b0cd,o483,0.6448,1,0.12616703999999998,"(0.6, 0.7]"
145,2023,Australian Open,db63,bu13,0.6472,1,0.12446784,"(0.6, 0.7]"
146,2023,Australian Open,gj37,k09f,0.534,1,0.21715599999999996,"(0.5, 0.6]"
147,2023,Australian Open,p09z,t0ap,0.7244,1,0.07595535999999997,"(0.7, 0.8]"
148,2023,Australian Open,h0bh,h997,0.3986,1,0.3616819599999999,"(0.3, 0.4]"
149,2023,Australian Open,s0gd,mu94,0.5254,1,0.22524516000000003,"(0.5, 0.6]"
150,2023,Australian Open,kb95,b0bi,0.4,1,0.36,"(0.3, 0.4]"
151,2023,Australian Open,mp01,lc12,0.6494,1,0.12292036000000002,"(0.6, 0.7]"
152,2023,Australian Open,mk66,n0ae,0.5826,1,0.17422276,"(0.5, 0.6]"
153,2023,Australian Open,mw02,wb32,0.4522,1,0.3000848400000001,"(0.4, 0.5]"
154,2023,Australian Open,mv14,w367,0.4474,1,0.30536675999999996,"(0.4, 0.5]"
155,2023,Australian Open,pl56,sl28,0.5564,1,0.19678096,"(0.5, 0.6]"
156,2023,Australian Open,su87,bt72,0.692,1,0.09486400000000003,"(0.6, 0.7]"
157,2023,Australian Open,s0s1,z371,0.5504,1,0.20214016,"(0.5, 0.6]"
158,2023,Australian Open,h09f,mp20,0.5108,1,0.23931663999999997,"(0.5, 0.6]"
159,2023,Australian Open,v836,gk06,0.6714,1,0.10797796,"(0.6, 0.7]"
160,2023,Australian Open,wb08,rc91,0.4292,1,0.32581264,"(0.4, 0.5]"
161,2023,Australian Open,mp20,g09o,0.6142,1,0.14884164000000003,"(0.6, 0.7]"
162,2023,Australian Open,b0gg,d0fj,0.5726,1,0.18267076000000002,"(0.5, 0.6]"
163,2023,Australian Open,h09p,ta29,0.5088,1,0.24127743999999998,"(0.5, 0.6]"
164,2023,Australian Open,wb08,v836,0.4218,1,0.33431524000000007,"(0.4, 0.5]"
165,2023,Australian Open,j551,n0am,0.7798,1,0.048488039999999975,"(0.7, 0.8]"
166,2023,Australian Open,lc12,o513,0.4658,1,0.28536964000000004,"(0.4, 0.5]"
167,2023,Australian Open,s0re,p09o,0.5732,1,0.18215823999999997,"(0.5, 0.6]"
168,2023,Australian Open,sl28,s0n0,1.0,1,0.0,"(0.9, 1.0]"
169,2023,Australian Open,s0gd,r0fs,0.8498,1,0.02256004,"(0.8, 0.9]"
170,2023,Australian Open,a0fc,bi81,0.5452,1,0.20684303999999998,"(0.5, 0.6]"
171,2023,Australian Open,o513,te30,0.4568,1,0.29506624000000004,"(0.4, 0.5]"
172,2023,Australian Open,wb08,k926,0.3026,1,0.48636676,"(0.3, 0.4]"
173,2023,Australian Open,v832,mp01,0.366,1,0.40195600000000004,"(0.3, 0.4]"
174,2023,Australian Open,h09f,y218,0.5876,1,0.17007376,"(0.5, 0.6]"
175,2023,Australian Open,h997,d0cg,0.5916,1,0.16679055999999998,"(0.5, 0.6]"
176,2023,Australian Open,s0la,kc12,1.0,1,0.0,"(0.9, 1.0]"
177,2023,Australian Open,b0gg,p0ct,0.3986,1,0.3616819599999999,"(0.3, 0.4]"
178,2023,Australian Open,bu13,bs86,0.459,1,0.2926809999999999,"(0.4, 0.5]"
179,2023,Australian Open,v832,t0a1,0.4318,1,0.32285124000000004,"(0.4, 0.5]"
180,2023,Australian Open,j551,s0gr,0.7638,1,0.05579043999999998,"(0.7, 0.8]"
181,2023,Australian Open,d0fj,s0ia,0.5104,1,0.23970816000000003,"(0.5, 0.6]"
182,2023,Australian Open,ta29,pg94,0.197,1,0.6448089999999999,"(0.1, 0.2]"
183,2023,Australian Open,p09o,ph64,1.0,1,0.0,"(0.9, 1.0]"
184,2023,Australian Open,lc12,tc01,0.4192,1,0.33732863999999996,"(0.4, 0.5]"
185,2023,Australian Open,s0la,sk94,1.0,1,0.0,"(0.9, 1.0]"
186,2023,Australian Open,r0fs,z0a1,0.199,1,0.6416009999999999,"(0.1, 0.2]"
187,2023,Australian Open,s0n0,bv24,0.497,1,0.253009,"(0.4, 0.5]"
188,2023,Australian Open,k09f,o660,0.5462,1,0.20593444,"(0.5, 0.6]"
189,2023,Australian Open,s0gd,kc29,1.0,1,0.0,"(0.9, 1.0]"
190,2023,Australian Open,h09p,a829,0.409,1,0.34928099999999995,"(0.4, 0.5]"
191,2023,Australian Open,bv24,aa27,0.4894,1,0.2607123599999999,"(0.4, 0.5]"
192,2023,Australian Open,wb08,s0ti,0.5024,1,0.24760576000000004,"(0.5, 0.6]"
193,2023,Australian Open,b0gg,w857,0.5284,1,0.22240656000000003,"(0.5, 0.6]"
194,2023,Australian Open,d0fj,fa43,1.0,1,0.0,"(0.9, 1.0]"
195,2023,Australian Open,pg94,ki63,0.8978,1,0.010444839999999992,"(0.8, 0.9]"
196,2023,Australian Open,s0ia,ki82,1.0,1,0.0,"(0.9, 1.0]"
197,2023,Australian Open,gk06,ph78,0.4862,1,0.26399044000000005,"(0.4, 0.5]"
198,2023,Australian Open,k926,d994,0.7076,1,0.08549775999999999,"(0.7, 0.8]"
199,2023,Australian Open,d923,kc33,0.21,1,0.6241000000000001,"(0.2, 0.3]"
200,2023,Australian Open,v832,d0f6,0.5596,1,0.19395216,"(0.5, 0.6]"
201,2023,Australian Open,kc12,c0e9,0.0,1,1.0,"(-0.001, 0.1]"
202,2023,Australian Open,j551,v0am,0.831,1,0.028561000000000013,"(0.8, 0.9]"
203,2023,Australian Open,sl28,s0h2,0.5632,1,0.19079423999999998,"(0.5, 0.6]"
204,2023,Australian Open,n09u,w0c4,0.4916,1,0.25847055999999996,"(0.4, 0.5]"
205,2023,Australian Open,ta29,bu54,0.489,1,0.261121,"(0.4, 0.5]"
206,2023,Australian Open,mp20,m0oq,1.0,1,0.0,"(0.9, 1.0]"
207,2023,Dallas Open,wb32,fb98,0.2982,1,0.49252324,"(0.2, 0.3]"
208,2023,Dallas Open,wb32,me82,0.3888,1,0.37356543999999997,"(0.3, 0.4]"
209,2023,Australian Open,s0re,m0ci,0.421,1,0.33524099999999996,"(0.4, 0.5]"
210,2023,Australian Open,s0n0,cg33,0.0,1,1.0,"(-0.001, 0.1]"
211,2023,Dallas Open,gc88,rg42,0.7338,1,0.07086244,"(0.7, 0.8]"
212,2023,Australian Open,s0gd,j0a4,1.0,1,0.0,"(0.9, 1.0]"
213,2023,Australian Open,te16,k0az,0.015,1,0.970225,"(-0.001, 0.1]"
214,2023,Dallas Open,fb98,gc88,0.641,1,0.128881,"(0.6, 0.7]"
215,2023,Australian Open,z0a1,rh59,1.0,1,0.0,"(0.9, 1.0]"
216,2023,Australian Open,t0a1,mj98,1.0,1,0.0,"(0.9, 1.0]"
217,2023,Dallas Open,wb32,mp01,0.3988,1,0.36144143999999995,"(0.3, 0.4]"
218,2023,Dallas Open,td51,mk66,0.5422,1,0.20958084,"(0.5, 0.6]"
219,2023,Dallas Open,wb32,su55,0.4706,1,0.28026436,"(0.4, 0.5]"
220,2023,Dallas Open,s0k7,ke64,1.0,1,0.0,"(0.9, 1.0]"
221,2023,Dallas Open,s0k7,v832,0.4014,1,0.35832196000000005,"(0.4, 0.5]"
222,2023,Dallas Open,me82,tc61,0.5614,1,0.19236995999999998,"(0.5, 0.6]"
