match_id,file,t60_prob,outcome,mins_before,brier,is_challenger
KXATPCHALLENGERMATCH-26FEB12MORSWE,KXATPCHALLENGERMATCH-26FEB12MORSWE-MOR_candles.csv,0.46,1,60.0,0.2916,True
KXATPCHALLENGERMATCH-26FEB12SAKTUL,KXATPCHALLENGERMATCH-26FEB12SAKTUL-TUL_candles.csv,0.23,0,60.0,0.0529,True
KXATPCHALLENGERMATCH-26FEB13BOLMOR,KXATPCHALLENGERMATCH-26FEB13BOLMOR-BOL_candles.csv,0.91,1,60.0,0.008099999999999994,True
KXATPCHALLENGERMATCH-26FEB13BONBOU,KXATPCHALLENGERMATCH-26FEB13BONBOU-BON_candles.csv,0.59,1,60.0,0.16810000000000003,True
KXATPCHALLENGERMATCH-26FEB13HARMAR,KXATPCHALLENGERMATCH-26FEB13HARMAR-HAR_candles.csv,0.09,1,60.0,0.8281000000000001,True
KXATPCHALLENGERMATCH-26FEB13LLAMIK,KXATPCHALLENGERMATCH-26FEB13LLAMIK-LLA_candles.csv,0.38,1,60.0,0.3844,True
KXATPCHALLENGERMATCH-26FEB13SIMBAR,KXATPCHALLENGERMATCH-26FEB13SIMBAR-BAR_candles.csv,0.18,0,60.0,0.0324,True
KXATPCHALLENGERMATCH-26FEB13SQUSHE,KXATPCHALLENGERMATCH-26FEB13SQUSHE-SHE_candles.csv,0.76,0,60.0,0.5776,True
KXATPCHALLENGERMATCH-26FEB14BONSQU,KXATPCHALLENGERMATCH-26FEB14BONSQU-SQU_candles.csv,0.36,0,60.0,0.1296,True
KXATPCHALLENGERMATCH-26FEB14DOSAND,KXATPCHALLENGERMATCH-26FEB14DOSAND-AND_candles.csv,0.2,0,60.0,0.04000000000000001,True
KXATPCHALLENGERMATCH-26FEB14KASGOM,KXATPCHALLENGERMATCH-26FEB14KASGOM-GOM_candles.csv,0.59,1,60.0,0.16810000000000003,True
KXATPCHALLENGERMATCH-26FEB14MERMOR,KXATPCHALLENGERMATCH-26FEB14MERMOR-MER_candles.csv,0.58,0,60.0,0.3364,True
KXATPCHALLENGERMATCH-26FEB14RAWVAN,KXATPCHALLENGERMATCH-26FEB14RAWVAN-RAW_candles.csv,0.44,0,60.0,0.1936,True
KXATPCHALLENGERMATCH-26FEB14XILEQB,KXATPCHALLENGERMATCH-26FEB14XILEQB-EQB_candles.csv,0.35,0,60.0,0.12249999999999998,True
KXATPCHALLENGERMATCH-26FEB15KUKTRO,KXATPCHALLENGERMATCH-26FEB15KUKTRO-KUK_candles.csv,0.51,1,60.0,0.24009999999999998,True
KXATPCHALLENGERMATCH-26FEB16DALGEO,KXATPCHALLENGERMATCH-26FEB16DALGEO-DAL_candles.csv,0.4,1,60.0,0.36,True
KXATPCHALLENGERMATCH-26FEB16DHANOG,KXATPCHALLENGERMATCH-26FEB16DHANOG-DHA_candles.csv,0.41,0,60.0,0.16809999999999997,True
KXATPCHALLENGERMATCH-26FEB16GOJMEN,KXATPCHALLENGERMATCH-26FEB16GOJMEN-GOJ_candles.csv,0.28,1,60.0,0.5184,True
KXATPCHALLENGERMATCH-26FEB16GRACHU,KXATPCHALLENGERMATCH-26FEB16GRACHU-CHU_candles.csv,0.64,0,60.0,0.4096,True
KXATPCHALLENGERMATCH-26FEB16KUKBAR,KXATPCHALLENGERMATCH-26FEB16KUKBAR-KUK_candles.csv,0.48,1,60.0,0.27040000000000003,True
KXATPCHALLENGERMATCH-26FEB16OFNGAS,KXATPCHALLENGERMATCH-26FEB16OFNGAS-GAS_candles.csv,0.69,1,60.0,0.09610000000000003,True
KXATPCHALLENGERMATCH-26FEB16SINMIC,KXATPCHALLENGERMATCH-26FEB16SINMIC-MIC_candles.csv,0.34,1,60.0,0.4355999999999999,True
KXATPCHALLENGERMATCH-26FEB16VANRIE,KXATPCHALLENGERMATCH-26FEB16VANRIE-RIE_candles.csv,0.64,0,60.0,0.4096,True
KXATPCHALLENGERMATCH-26FEB16YEVDON,KXATPCHALLENGERMATCH-26FEB16YEVDON-DON_candles.csv,0.38,0,60.0,0.1444,True
KXATPCHALLENGERMATCH-26FEB17BINYEV,KXATPCHALLENGERMATCH-26FEB17BINYEV-BIN_candles.csv,0.2,1,60.0,0.6400000000000001,True
KXATPCHALLENGERMATCH-26FEB17BOUCOP,KXATPCHALLENGERMATCH-26FEB17BOUCOP-BOU_candles.csv,0.4,1,60.0,0.36,True
