match_id,p1_won_set1,p1_prob,outcome,brier
10078,False,0.0582,0,0.00338724
10079,False,0.0486,0,0.0023619599999999998
10080,False,0.057,0,0.003249
10082,True,1.0,1,0.0
10083,True,0.999,0,0.998001
10084,True,0.7396,1,0.06780815999999998
10085,False,0.001,0,1e-06
10086,False,0.0604,0,0.00364816
10088,True,0.9996,1,1.5999999999996475e-07
10089,False,0.0168,1,0.9666822399999999
10092,True,0.9894,1,0.00011236000000000114
10094,True,0.9942,0,0.9884336399999999
10095,False,0.0016,0,2.56e-06
10096,False,0.0708,0,0.0050126400000000005
10097,False,0.05,0,0.0025000000000000005
10098,False,0.0012,0,1.4399999999999998e-06
10099,False,0.2134,0,0.04553956
10100,True,0.999,1,1.0000000000000019e-06
10101,False,0.0038,0,1.444e-05
10102,True,1.0,1,0.0
10103,True,0.9984,1,2.5600000000001466e-06
10105,True,0.99,1,0.00010000000000000018
10106,False,0.1806,0,0.032616360000000004
10107,True,0.972,1,0.0007840000000000014
10108,False,0.0802,0,0.006432039999999999
10111,True,0.9298,1,0.004928040000000006
10113,False,0.0528,1,0.8971878400000001
10114,False,0.0,1,1.0
10116,False,0.002,0,4e-06
10118,False,0.1066,0,0.01136356
10119,False,0.0252,0,0.00063504
10122,True,0.986,1,0.00019600000000000035
10124,True,0.8412,0,0.7076174399999999
10127,False,0.0,1,1.0
10130,True,0.8508,1,0.022260639999999998
10132,True,0.9898,1,0.00010403999999999973
10133,False,0.0002,0,4e-08
10134,True,0.9194,1,0.0064963600000000005
10135,False,0.0,0,0.0
10136,False,0.103,0,0.010608999999999999
10137,False,0.0066,0,4.3559999999999996e-05
10139,False,0.1586,1,0.7079539600000001
10140,False,0.0002,0,4e-08
10141,False,0.0106,0,0.00011236
10142,True,0.9608,1,0.001536640000000001
10146,False,0.067,0,0.004489000000000001
10148,False,0.0006,0,3.5999999999999994e-07
10149,True,1.0,1,0.0
10152,True,0.9828,1,0.00029583999999999974
10153,False,0.0,0,0.0
10154,True,0.881,1,0.014160999999999998
10156,True,0.999,1,1.0000000000000019e-06
10157,False,0.2412,0,0.05817744
10158,True,1.0,1,0.0
10159,False,0.0884,0,0.007814560000000002
10160,True,0.997,1,9.000000000000015e-06
10161,False,0.0,0,0.0
10162,False,0.0908,0,0.008244640000000001
10163,False,0.092,0,0.008464
10164,False,0.001,1,0.998001
10165,False,0.0006,0,3.5999999999999994e-07
10167,True,1.0,1,0.0
10169,True,0.8068,1,0.03732624000000002
10170,False,0.0,0,0.0
10171,True,0.9782,1,0.0004752400000000018
10172,False,0.0044,0,1.936e-05
10173,False,0.073,0,0.0053289999999999995
10174,False,0.0158,0,0.00024964000000000003
10175,True,1.0,0,1.0
10176,True,0.9996,1,1.5999999999996475e-07
10181,False,0.062,0,0.0038439999999999998
10183,True,0.9998,1,3.9999999999991186e-08
10185,False,0.001,0,1e-06
10186,False,0.0002,0,4e-08
10187,True,1.0,1,0.0
10188,False,0.05,1,0.9025
10189,False,0.0842,0,0.0070896399999999995
10191,False,0.334,0,0.11155600000000002
10192,True,0.975,1,0.0006250000000000011
